id,name,address,location_id,latitude,longitude,stars,rating,reviews_count,min_price,distance_to_center,property_type,photos_count,amenities,badges,popularity,popularity2,trending_speed,weights,district_name,nearest_airport,nearest_metro_station,nearest_train_station,nearest_beach
1917230926,,"Нижнеимеретинская улица, 155Б","Сочи, Россия",43.396717,39.970886,0,0.0,0,0,29151,HOTEL,11,[],,24439,0,0.0,0.31824237,Сочи - Адлерский район,6275.0,,,69.0
1915683195,"Апартаменты ""King Sea Apart""","Медицинская улица, 23","Сочи, Россия",43.78802,39.470295,0,0.0,0,0,30226,HOTEL,16,[],,24438,0,0.0,0.31824237,Неизвестный район,53468.0,,,
1917289858,База отдыха «Елена» на 10 номеров,"Зубова Щель, 8","Сочи, Россия",43.830463,39.42759,0,0.0,0,0,36036,HOTEL,24,[],,24437,0,0.0,0.31824237,Сочи - Лазаревский район,59230.0,,,
1917291591,,"Штурманский переулок, 17А","Сочи, Россия",43.798283,39.455875,0,0.0,0,0,31850,HOTEL,9,[],,24436,0,0.0,0.31824237,Неизвестный район,55093.0,,,
1910480034,"Гостиница ""Фортуна""","Бугазская коса ,  Литер B","Геленджик, Россия",45.0651,37.043694,0,0.0,0,0,29215,HOTEL,11,[],,24435,0,0.0,0.31824237,Неизвестный район,28248.0,,,48.0
1916187885,Студия,"Большой Петроградской стороны проспект, 74","Санкт-Петербург, Россия",59.96328,30.307695,0,0.0,0,41,1562,APARTMENT,8,[],,24429,0,0.0,0.3182307,Санкт-Петербург - Центральный район,17479.0,405.0,2809.0,1708.0
1915870152,1-комнатная квартира,"Красная улица, 55/13","Сочи, Россия",43.581783,39.734066,0,0.0,0,39,1179,APARTMENT,11,[],,24422,0,0.0,0.3182307,Сочи - Центральный район,22299.0,,1191.0,1063.0
1915777008,2-комнатная квартира,"Кубанская улица, 8А","Сочи, Россия",43.5805,39.729298,0,0.0,0,41,901,APARTMENT,9,[],,24419,0,0.0,0.3182307,Сочи - Центральный район,22495.0,,1252.0,681.0
1915997552,Студия,"Первомайская улица, 1","Сочи, Россия",43.581497,39.72377,0,0.0,0,41,506,APARTMENT,20,[],,24411,0,0.0,0.3182307,Сочи - Центральный район,22906.0,,1205.0,487.0
1915753437,2-комнатная квартира,"Пушкинская улица, 17","Санкт-Петербург, Россия",59.9278,30.3558,0,0.0,0,51,3302,APARTMENT,11,[],,24403,0,0.0,0.3181854,Санкт-Петербург - Центральный район,13791.0,404.0,333.0,3112.0
1915711191,2-комнатная квартира,"Добролюбова проспект, 25","Санкт-Петербург, Россия",59.950554,30.297426,0,0.0,0,39,1076,APARTMENT,24,[],,24394,0,0.0,0.3181273,Санкт-Петербург - Центральный район,16075.0,398.0,3313.0,867.0
1915707779,3-комнатная квартира,"Куйбышева улица, 10","Санкт-Петербург, Россия",59.955006,30.326925,0,0.0,0,43,799,APARTMENT,19,[],,24393,0,0.0,0.3181273,Санкт-Петербург - Центральный район,16592.0,461.0,1620.0,917.0
1915735976,2-комнатная квартира,"Рубинштейна улица, 23","Санкт-Петербург, Россия",59.928032,30.343006,0,0.0,0,51,2856,APARTMENT,16,[],,24392,1,0.0,0.31811056,Санкт-Петербург - Центральный район,13697.0,178.0,1011.0,2653.0
1915917151,Студия,"Кронверский проспект, 23","Санкт-Петербург, Россия",59.956978,30.31829,0,0.0,0,38,782,APARTMENT,17,[],,24389,0,0.0,0.3180733,Санкт-Петербург - Центральный район,16787.0,107.0,2100.0,963.0
285180121,Загородный Дом на Деповской,"Деповская ул., д. 15","Санкт-Петербург, Россия",60.20864,29.708067,0,0.0,0,0,44475,HOTEL,11,[],,24381,0,0.0,0.31807184,Неизвестный район,55828.0,,,2299.0
46168574,Сутки Петербург Средний проспект ВО,"Средний пр-т В.О., д. 38, кв. 7","Санкт-Петербург, Россия",59.56019,30.15004,0,0.0,0,0,44426,HOTEL,1,[],,24379,0,0.0,0.31807184,Неизвестный район,28748.0,,,
1917221211,,"Курортная улица, 24","Санкт-Петербург, Россия",60.19305,29.737415,0,0.0,0,0,42112,HOTEL,4,[],,24378,0,0.0,0.31807184,Неизвестный район,53468.0,,,2128.0
1917221261,,"Курортная улица, 24","Санкт-Петербург, Россия",60.19305,29.737415,0,0.0,0,0,42112,HOTEL,9,[],,24377,0,0.0,0.31807184,Неизвестный район,53468.0,,,2128.0
1916349241,,"Хвойная улица, 1Б","Сочи, Россия",43.89716,39.351906,0,0.0,0,0,45621,HOTEL,10,[],,24376,0,0.0,0.31807184,Сочи - Лазаревский район,68779.0,,3185.0,330.0
1917226127,,"Сочинское шоссе, 2А/7","Сочи, Россия",43.900158,39.33872,0,0.0,0,0,46568,HOTEL,6,[],,24375,0,0.0,0.31807184,Сочи - Лазаревский район,69753.0,,2191.0,807.0
1915947304,"Гостевой дом ""Солярис""","улица Единство, 34","Сочи, Россия",43.910393,39.34096,0,0.0,0,20,47310,HOTEL,24,[],,24374,5,0.0,0.44380388,Сочи - Лазаревский район,70450.0,,1688.0,1290.0
1916349814,,"Хвойная улица, 1Б","Сочи, Россия",43.89716,39.351906,0,0.0,0,0,45621,HOTEL,24,[],,24373,0,0.0,0.31807184,Сочи - Лазаревский район,68779.0,,3185.0,330.0
1917232083,,"Березовая улица, 12","Сочи, Россия",43.689754,40.24793,0,0.0,0,0,44131,HOTEL,12,[],,24372,0,0.0,0.31807184,Неизвестный район,36451.0,,,2499.0
1917232462,,"Победы улица, 76","Сочи, Россия",43.913197,39.32761,0,0.0,0,0,48246,HOTEL,4,[],,24371,0,0.0,0.31807184,Сочи - Лазаревский район,71414.0,,576.0,491.0
1917232620,,"Марьинское шоссе, 23","Сочи, Россия",43.904793,39.343483,0,0.0,0,0,46705,HOTEL,10,[],,24370,0,0.0,0.31807184,Сочи - Лазаревский район,69859.0,,2140.0,1004.0
1917223610,,"Марьинское шоссе, 9/1","Сочи, Россия",43.903282,39.341305,0,0.0,0,0,46693,HOTEL,3,[],,24369,0,0.0,0.31807184,Сочи - Лазаревский район,69859.0,,2097.0,920.0
1917223651,,"Хвойная улица, 1/7","Сочи, Россия",43.897655,39.351353,0,0.0,0,0,45692,HOTEL,3,[],,24368,0,0.0,0.31807184,Сочи - Лазаревский район,68850.0,,3116.0,335.0
47210694,Горная Ласточка Holiday Home,"Дубравная ул., д. 24","Сочи, Россия",43.680748,40.241367,0,0.0,0,0,43368,HOTEL,7,[],,24367,0,0.0,0.31807184,Неизвестный район,35358.0,,,1752.0
48481989,Good Trip Holiday Home,"Лужный пер., д. 1","Сочи, Россия",43.687187,40.248688,0,0.0,0,0,44117,HOTEL,1,[],,24366,0,0.0,0.31807184,Неизвестный район,36283.0,,,2455.0
1917229937,,"Олимпийская улица, 36","Сочи, Россия",43.674763,40.285786,0,0.0,0,0,46708,HOTEL,5,[],,24365,0,0.0,0.31807184,Неизвестный район,37448.0,,,1049.0
1917227983,,"Лунный переулок, 14","Сочи, Россия",43.689,40.24765,0,0.0,0,0,44088,HOTEL,9,[],,24364,0,0.0,0.31807184,Неизвестный район,36374.0,,,2445.0
